TaskID,Category,Area,Priority,Severity,Phase,Epic,Task,Description,DependsOn,PrimaryFiles,AcceptanceCriteria,Status
PRD-115,Observability,Alerting,P3,Medium,Operations,Alerting,Define alerts for data loss replay lag and execution mismatches,"Turn visibility into action through actionable alerts.",PRD-112,"docs/*; monitoring config","Alert rules exist for core production risks.","TODO"
PRD-116,Ops,Deploy,P2,High,Operations,Deployment,Add environment validation at boot,"Fail startup for missing secrets and incompatible production settings.",PRD-001,"cmd/server/main.go; internal/utils/config.go","Startup validates required env/config before serving traffic.","TODO"
PRD-117,Ops,Deploy,P2,High,Operations,Deployment,Create dev staging prod config separation,"Avoid using one loose config shape across all environments.",PRD-116,"configs/*; deployment docs","Environment-specific config strategy exists and is documented.","TODO"
PRD-118,Ops,Deploy,P2,Medium,Operations,Deployment,Add readiness endpoint separate from health endpoint,"Distinguish process up from service ready for traffic.",PRD-036,"internal/server/api_v1.go; internal/runtime/*","Readiness endpoint reflects dependency and service readiness correctly.","TODO"
PRD-119,Ops,Deploy,P2,Medium,Operations,Deployment,Define migration rollout procedure,"Ensure DB migrations run safely in deployment pipeline.",PRD-068,"docs/*; CI/CD config","Documented migration sequence exists for staging and production.","TODO"
PRD-120,Ops,Deploy,P3,Medium,Operations,Deployment,Add backup and restore drill plan,"Prepare recovery for data loss and migration incidents.",PRD-119,"docs/*","Backup and restore procedure is documented and tested.","TODO"
PRD-121,Ops,Security,P2,Medium,Operations,Secret hygiene,Ensure .env and token artifacts stay out of images and commits,"Harden .gitignore and container build inputs.",PRD-003,".gitignore; Dockerfile; .dockerignore","Secrets are excluded from source control and image build context.","TODO"
PRD-122,Ops,Security,P3,Low,Operations,Secret hygiene,Add secret rotation runbook,"Document how to rotate JWT, encryption, and broker-related secrets safely.",PRD-116,"docs/*","Secret rotation procedure exists for operations.","TODO"
PRD-123,Testing,Unit,P1,High,Quality,Test coverage,Add auth regression tests for revoked refresh tokens,"Prevent refresh/logout security regressions.",PRD-003,"internal/api/handlers/auth/auth_test.go","Tests fail if revoked refresh token can still rotate.","TODO"
PRD-124,Testing,Unit,P1,High,Quality,Test coverage,Add candle alignment unit tests for all configured intervals,"Cover 1m, 5m, 15m, 1h, and daily session alignment.",PRD-047,"internal/data/*_test.go","Alignment tests prove expected session bucket timestamps.","TODO"
PRD-125,Testing,Unit,P1,High,Quality,Test coverage,Add indicator hydration and restart tests,"Ensure warm-start loads finalized history correctly.",PRD-059,"internal/data/*_test.go","Indicator restart tests pass against representative history.","TODO"
PRD-126,Testing,Integration,P2,Critical,Quality,Determinism tests,Add replay parity tests for tick to candle rebuild,"Verify replay rebuild matches live finalized candle output.",PRD-053,"internal/data/*_test.go; new internal/marketdata/replay/*_test.go","Replay output matches expected finalized candle truth.","TODO"
PRD-127,Testing,Integration,P2,High,Quality,Determinism tests,Add indicator parity tests between live path and replay path,"Ensure derived indicators are identical after restart/rebuild.",PRD-055,"internal/data/*_test.go","Indicator replay parity tests pass.","TODO"
PRD-128,Testing,Integration,P2,High,Quality,Realtime tests,Add websocket auth and subscription integration tests,"Verify hub auth, topic rules, and message envelopes.",PRD-062,"internal/realtime/*_test.go","Realtime integration tests cover auth and subscription flows.","TODO"
PRD-129,Testing,Integration,P2,High,Quality,Runtime tests,Add service lifecycle tests for start stop and restart,"Validate RuntimeManager ordering and service transitions.",PRD-033,"internal/runtime/*_test.go","Lifecycle tests prove safe start/stop behavior.","TODO"
PRD-130,Testing,Integration,P3,Medium,Quality,Execution tests,Add paper trading execution and PnL tests,"Cover fill simulation, fee logic, and PnL updates.",PRD-100,"internal/execution/paper/*_test.go; internal/pnl/*_test.go","Paper execution and PnL integration tests pass.","TODO"
PRD-131,Testing,Integration,P3,Medium,Quality,Backtest tests,Add backtest reproducibility tests,"Ensure same historical inputs produce same outputs repeatedly.",PRD-103,"internal/backtest/*_test.go","Backtests are deterministic and repeatable.","TODO"
PRD-132,Docs,Runbooks,P2,Medium,Operations,Runbooks,Write incident runbooks for broker outage data lag and replay recovery,"Prepare operators for real incidents before live use.",PRD-097,"docs/*","Core incident runbooks exist and are reviewed.","TODO"
PRD-133,Docs,Runbooks,P2,Low,Operations,Runbooks,Write service ownership and dependency diagram docs,"Document runtime topology for contributors and operations.",PRD-033,"docs/*","Architecture and service dependency docs are current.","TODO"
PRD-134,Docs,Contracts,P2,Low,Operations,Contributors,Document API versioning and websocket contract policy,"Prevent future contract drift as the surface expands.",PRD-080,"docs/*","Contributors have documented contract-change policy.","TODO"
PRD-135,ML,Models,P3,Medium,Research,Model platform,Create model registry metadata layer,"Track active model versions, paths, and status intentionally.",PRD-033,"internal/model/*; internal/api/handlers/models/*","Model registry exists for nontrivial model lifecycle management.","TODO"
PRD-136,ML,Inference,P3,Medium,Research,Model platform,Separate inference service boundary from sentiment helper,"Avoid hard-wiring ML logic into ad hoc callers.",PRD-135,"internal/model/*","Inference is exposed through stable service interface.","TODO"
PRD-137,ML,Features,P4,Medium,Research,Model platform,Define offline and online feature parity for sentiment and market features,"Prevent training-serving skew later.",PRD-136,"docs/*; internal/model/*; internal/marketdata/*","Feature definitions are shared between offline and online paths.","TODO"
PRD-138,RL,Prep,P4,Low,Research,RL readiness,Define replayable trading environment state reward and action contracts,"Only after deterministic replay and paper execution are stable.",PRD-103,"new internal/models/rl/*; docs/*","RL environment spec exists on top of deterministic replay foundation.","TODO"
PRD-139,Observability,Metrics,P2,High,Operations,System metrics API,Implement GET /api/v1/system/metrics endpoint,\"Expose real CPU load, memory usage, goroutine count, GC pause ms, uptime seconds, API latency p50/p95, orders/sec, fill rate, and slippage. All 21 metrics in systemHealthPanel.tsx (System Performance Overview) are currently random client-side mock values regenerated every 5 seconds with zero backend source.\",PRD-033,\"new internal/api/handlers/runtime/metrics.go; internal/server/api_v1.go; internal/telemetry/*\",\"Endpoint returns real runtime metrics matching the 6 groups shown in systemHealthPanel.tsx: Latency & Performance, System Resources, Application & Threading, Network Health, Storage & Disk, Operational & Trading.\",\"TODO\"
PRD-140,Observability,Metrics,P2,High,Operations,System metrics WebSocket stream,Add /ws/metrics topic to unified hub for live system metric push,\"systemHealthPanel.tsx polls random data every 5s. Replace with real WebSocket push from backend so metrics reflect actual runtime state.\",PRD-139,\"internal/realtime/*; internal/telemetry/*; internal/server/routes.go\",\"Frontend receives live metric updates over WebSocket without polling random values.\",\"TODO\"
PRD-141,Execution,Positions,P3,High,Trading core,Positions API,Implement GET /api/v1/positions endpoint,\"PositionsPanel.tsx equity and F&O positions tabs are 100% hardcoded mock data. Backend must return real open positions from broker or paper engine.\",PRD-094,\"new internal/api/handlers/positions/positions.go; internal/server/api_v1.go; internal/db/models.go\",\"Positions endpoint returns real equity and F&O positions with symbol, qty, buyAvg, ltp, currentValue, dayPnl, totalPnl.\",\"TODO\"
PRD-142,Execution,Orders,P3,High,Trading core,Orders API,Implement GET /api/v1/orders with status filter,\"PositionsPanel.tsx open/executed/rejected/GTT order tabs are 100% hardcoded mock data. Backend must return real order history.\",PRD-094,\"new internal/api/handlers/orders/orders.go; internal/server/api_v1.go; internal/db/models.go\",\"Orders endpoint returns real order history filterable by status (open/executed/rejected/gtt).\",\"TODO\"
PRD-143,Strategy,API,P3,High,Trading core,Strategies list and toggle API,Implement GET /api/v1/strategies and PATCH /api/v1/strategies/:id/status,\"StrategyPanel.tsx strategy cards and toggle switches use hardcoded mock strategies with local-only state. No backend strategy registry or toggle endpoint exists.\",PRD-086,\"internal/api/handlers/strategies/strategies.go; internal/server/api_v1.go; internal/strategy/*\",\"Strategies endpoint returns real registered strategies; toggle endpoint persists active/inactive state.\",\"TODO\"
PRD-144,ML,API,P3,High,Research,ML models list and retrain API,Implement GET /api/v1/models and POST /api/v1/models/:id/retrain,\"MLModelsPanel.tsx model cards (accuracy, F1, status, training progress, prediction, confidence) are 100% hardcoded mock data. Retrain buttons are mock alerts.\",PRD-135,\"internal/api/handlers/models/models.go; internal/server/api_v1.go; internal/model/*\",\"Models endpoint returns real model registry entries; retrain endpoint triggers actual retraining job.\",\"TODO\"
PRD-145,ML,API,P3,Medium,Research,Sentiment feed API,Implement GET /api/v1/sentiment returning scored news items,\"SentimentPanel.tsx news articles with sentiment scores, impact, and category are 100% hardcoded mock data. No news pipeline or sentiment endpoint exists.\",PRD-136,\"new internal/api/handlers/sentiment/sentiment.go; internal/server/api_v1.go; internal/data/news_pipeline.go\",\"Sentiment endpoint returns real or pipeline-sourced news items with sentiment scores.\",\"TODO\"
PRD-146,MarketData,API,P2,High,Data foundation,Sector performance API,Implement GET /api/v1/market/sectors,\"MarketData.tsx sector performance panel (IT, FMCG, AUTO, PHARMA, etc.) is hardcoded mock data. No sector aggregation endpoint exists.\",PRD-041,\"new internal/api/handlers/market/sectors.go; internal/server/api_v1.go\",\"Sectors endpoint returns real or heatmap-derived sector performance data.\",\"TODO\"
PRD-147,MarketData,API,P2,High,Data foundation,Forex and commodities API,Implement GET /api/v1/market/forex,\"MarketData.tsx forex and commodities panel (USD/INR, Gold, Crude Oil) is hardcoded mock data.\",PRD-041,\"new internal/api/handlers/market/forex.go; internal/server/api_v1.go\",\"Forex endpoint returns real or sourced forex and commodity prices.\",\"TODO\"
PRD-148,MarketData,API,P2,High,Data foundation,F&O futures and option chain API,Implement GET /api/v1/market/futures and GET /api/v1/market/options,\"MarketData.tsx F&O Insights tab (Nifty futures, option chain) is fully mocked. No F&O data endpoint exists.\",PRD-022,\"new internal/api/handlers/market/fno.go; internal/server/api_v1.go\",\"Futures endpoint returns real Nifty futures expiry data; options endpoint returns option chain data.\",\"TODO\"
PRD-149,MarketData,API,P2,Medium,Data foundation,Watchlist CRUD API,Implement GET/POST/DELETE /api/v1/watchlist,\"MarketData.tsx watchlist is hardcoded mock data with no persistence or backend. Users cannot save or manage their watchlist.\",PRD-034,\"new internal/api/handlers/watchlist/watchlist.go; internal/server/api_v1.go; internal/db/models.go\",\"Watchlist endpoints allow users to read, add, and remove symbols with persistence.\",\"TODO\"
PRD-150,API,Settings,P3,Medium,Contract hygiene,User settings API,Implement GET /api/v1/settings and PATCH /api/v1/settings,\"Settings.tsx save button only calls console.log and shows a mock alert. All settings (Zerodha config, notifications, risk rules, strategy config, data management, performance) are local state only with no backend persistence.\",PRD-077,\"new internal/api/handlers/settings/settings.go; internal/server/api_v1.go; internal/db/models.go\",\"Settings endpoints allow reading and persisting user configuration server-side.\",\"TODO\"
PRD-151,Backtest,UI,P3,Medium,Research,Implement backtest UI section,\"TradingDashboard.tsx backtest case renders a static Coming Soon placeholder. Wire up to real backtest job submission (POST /api/v1/backtest/jobs) and results (GET /api/v1/backtest/jobs/:id) endpoints.\",PRD-103,\"signal-execution-desk/src/components/TradingDashboard.tsx; new signal-execution-desk/src/components/BacktestPanel.tsx; internal/server/api_v1.go\",\"Backtest section allows submitting jobs and viewing results instead of showing Coming Soon.\",\"TODO\"
